"","week","Russia_min","Russia_max","Russia_2021","2022","Russia_2023","Russia_2024","EU Ziel"
"1",1,2704.3,3909,3290.3,1745.7,415.1,572.1,1096.76666666667
"2",2,2357.6,4075.4,3059.9,1795.6,408,605.6,1019.96666666667
"3",3,2146.6,4087.3,3156.7,1756.7,343.8,605,1052.23333333333
"4",4,2004.4,4104.2,3140.8,1942.7,333.7,611,1046.93333333333
"5",5,1952.8,3911.2,3156.1,2207.8,384.2,611.8,1052.03333333333
"6",6,1962.6,3859.4,3182.2,2023.8,461.3,605.2,1060.73333333333
"7",7,2067.6,3783.6,3184.1,1922.4,452.2,607.7,1061.36666666667
"8",8,2063,3656.9,2870.1,2323.4,429.2,567.2,956.7
"9",9,1965.9,3825.1,2694.1,2620.7,486,603.6,898.033333333333
"10",10,2317.8,3832,3104.1,2606.4,461,614.5,1034.7
"11",11,2779.4,3831,3072.7,2267.5,467.5,617.3,1024.23333333333
"12",12,2743.5,3934.6,3167.5,2410.6,441.7,644.7,1055.83333333333
"13",13,2628.6,3910.3,3194.4,2529.2,451.3,614.4,1064.8
"14",14,2830.7,3750.5,3139.1,2312.8,515.9,560.2,1046.36666666667
"15",15,2815.5,3805.3,3050.5,2082.8,520.7,554.4,1016.83333333333
"16",16,2719.9,3919.6,3088.9,1930.6,538.9,624.6,1029.63333333333
"17",17,2852.6,3914.3,3147.1,1895.1,462,607.6,1049.03333333333
"18",18,2828.6,4016.8,3166.7,2262.2,453.2,575.8,1055.56666666667
"19",19,2993.7,3977.9,3180.3,1998,452.6,605.8,1060.1
"20",20,2850.9,3959.6,3185,1783.8,438.8,642.9,1061.66666666667
"21",21,2777.3,3872.1,3184.3,1664.3,407.2,679.4,1061.43333333333
"22",22,2429.3,3835.5,3238.1,1601.7,379.3,701.7,1079.36666666667
"23",23,2626.1,3778,3163.7,1512.8,249.6,396.6,1054.56666666667
"24",24,2753.7,3811.9,3076.5,1109.9,409.9,NA,1025.5
"25",25,2996.3,3771.8,3209.8,851.1,524,NA,1069.93333333333
"26",26,3068.4,3690.9,2951.8,1055,532,NA,983.933333333333
"27",27,3023.8,3577.4,3100.2,1059.1,561.6,NA,1033.4
"28",28,2639.6,3513.1,2747.7,609.2,600.3,NA,915.9
"29",29,2072.6,3434.2,2096,923.2,584.9,NA,698.666666666667
"30",30,1989.4,3563.4,2438.4,947.2,557.4,NA,812.8
"31",31,2855.4,3896.3,3063.5,835.8,583.6,NA,1021.16666666667
"32",32,2897.3,3618.9,2742.7,845.3,586.6,NA,914.233333333333
"33",33,2580.5,3857,2658.9,853.2,582.9,NA,886.3
"34",34,2750.6,3713.1,2719.4,848.6,620.9,NA,906.466666666667
"35",35,2858.1,3791.1,2994.3,655.8,594.1,NA,998.1
"36",36,2726.6,3927.5,2786.8,587.4,557.5,NA,928.933333333333
"37",37,2736.5,3925,2689.3,599.1,588.1,NA,896.433333333333
"38",38,2776.1,3828.4,2879.7,572.5,574.5,NA,959.9
"39",39,2859.6,3778.7,2936.4,531.5,613,NA,978.8
"40",40,3076.2,3511.2,2569.8,520.7,492.2,NA,856.6
"41",41,2942.7,3625.1,2608.1,558.4,581.6,NA,869.366666666667
"42",42,3193,3703.3,2579.3,535.9,634.4,NA,859.766666666667
"43",43,3173.1,3972.5,2523.2,434.6,624.9,NA,841.066666666667
"44",44,3105.7,3869.9,2516.5,408.7,537.6,NA,838.833333333333
"45",45,2914.7,3924.7,2223.5,495.4,571.3,NA,741.166666666667
"46",46,2801.2,4043,2603.9,593.1,589.4,NA,867.966666666667
"47",47,3048.2,4051.7,2766.8,598.7,657.8,NA,922.266666666667
"48",48,3027.3,4013.9,2783.7,657.9,725,NA,927.9
"49",49,3119.2,4045.3,2804.3,706.7,758.6,NA,934.766666666667
"50",50,3201.5,3970.7,2828.3,724.3,722.1,NA,942.766666666667
"51",51,3224.8,3880.5,2773.7,563.8,701,NA,924.566666666667
"52",52,2943.6,3797.7,2572.4,521.5,665.9,NA,857.466666666667
"53",53,NA,NA,2319.4,NA,NA,NA,773.133333333333
