"","date","min","mit","max","minYear","maxYear","last"
"1","2024-01-01","114.96","115.48","115.78","2023","2015","114.96"
"2","2024-01-02","114.96","115.48","115.78","2023","2015","114.96"
"3","2024-01-03","114.96","115.48","115.79","2023","2015","114.96"
"4","2024-01-04","114.96","115.48","115.79","2023","2015","114.96"
"5","2024-01-05","114.96","115.48","115.8","2023","2015","114.96"
"6","2024-01-06","114.96","115.48","115.8","2023","2015","114.97"
"7","2024-01-07","114.96","115.49","115.79","2023","2015","114.97"
"8","2024-01-08","114.96","115.49","115.79","2023","2015","114.97"
"9","2024-01-09","114.97","115.49","115.79","2023","2015","114.97"
"10","2024-01-10","114.97","115.49","115.8","2023","2015","114.98"
"11","2024-01-11","114.98","115.49","115.8","2023","2015","114.99"
"12","2024-01-12","114.98","115.49","115.79","2023","2015","114.98"
"13","2024-01-13","114.98","115.49","115.79","2023","2015","114.98"
"14","2024-01-14","114.98","115.49","115.79","2023","2015","114.98"
"15","2024-01-15","114.98","115.5","115.79","2023","2015","114.98"
"16","2024-01-16","114.99","115.5","115.78","2023","2015","114.99"
"17","2024-01-17","114.99","115.5","115.79","2023","2015","114.99"
"18","2024-01-18","115","115.5","115.78","2023","2015","115"
"19","2024-01-19","115","115.5","115.78","2023","2015","115"
"20","2024-01-20","114.99","115.5","115.78","2023","2015","115"
"21","2024-01-21","115","115.5","115.77","2023","2015","115"
"22","2024-01-22","114.99","115.5","115.77","2023","2015","115"
"23","2024-01-23","114.99","115.51","115.77","2023","2015","115"
"24","2024-01-24","115","115.51","115.76","2023","2015","115"
"25","2024-01-25","115","115.51","115.75","2023","2011","115"
"26","2024-01-26","115","115.51","115.75","2023","2011","115"
"27","2024-01-27","115","115.51","115.75","2023","2015","115"
"28","2024-01-28","115","115.51","115.76","2023","1983","115.01"
"29","2024-01-29","115.01","115.51","115.76","2023","1983","115.01"
"30","2024-01-30","115","115.51","115.77","2023","2015","115.01"
"31","2024-01-31","115","115.52","115.77","2023","2015","115.01"
"32","2024-02-01","115.01","115.52","115.77","2023","2015","115.01"
"33","2024-02-02","115.01","115.52","115.77","2023","2015","115.01"
"34","2024-02-03","115.01","115.52","115.77","2023","2015","115.01"
"35","2024-02-04","115.02","115.52","115.76","2023","2015","115.03"
"36","2024-02-05","115.03","115.52","115.76","2023","2015","115.04"
"37","2024-02-06","115.02","115.52","115.76","2023","1996","115.03"
"38","2024-02-07","115.02","115.52","115.76","2023","1996","115.02"
"39","2024-02-08","115.02","115.53","115.76","2023","1996","115.02"
"40","2024-02-09","115.02","115.53","115.76","2023","1996","115.02"
"41","2024-02-10","115.02","115.53","115.76","2023","1996","115.02"
"42","2024-02-11","115.02","115.53","115.76","2023","1996","115.02"
"43","2024-02-12","115.02","115.53","115.76","2023","1983","115.02"
"44","2024-02-13","115.02","115.53","115.76","2023","1983","115.02"
"45","2024-02-14","115.02","115.53","115.76","2023","1983","115.02"
"46","2024-02-15","115.02","115.53","115.77","2023","1983","115.02"
"47","2024-02-16","115.02","115.54","115.76","2023","1983","115.02"
"48","2024-02-17","115.02","115.54","115.78","2023","1996","115.03"
"49","2024-02-18","115.03","115.54","115.8","2023","1996","115.03"
"50","2024-02-19","115.03","115.54","115.81","2023","1996","115.03"
"51","2024-02-20","115.04","115.54","115.82","2023","1996","115.04"
"52","2024-02-21","115.04","115.54","115.82","2023","1996","115.04"
"53","2024-02-22","115.04","115.54","115.82","2023","1996","115.04"
"54","2024-02-23","115.04","115.54","115.82","2023","1996","115.04"
"55","2024-02-24","115.03","115.55","115.82","2023","1996","115.04"
"56","2024-02-25","115.04","115.55","115.82","2023","1996","115.04"
"57","2024-02-26","115.03","115.55","115.82","2023","1996","115.04"
"58","2024-02-27","115.03","115.55","115.82","2023","1996","115.03"
"59","2024-02-28","115.03","115.55","115.82","2023","1996","115.03"
"60","2024-03-01","115.03","115.55","115.83","2023","1996","115.03"
"61","2024-03-02","115.03","115.55","115.82","2023","1996","115.03"
"62","2024-03-03","115.03","115.55","115.82","2023","1996","115.03"
"63","2024-03-04","115.03","115.56","115.82","2023","1996","115.03"
"64","2024-03-05","115.03","115.56","115.82","2023","1996","115.03"
"65","2024-03-06","115.02","115.56","115.81","2023","1996","115.03"
"66","2024-03-07","115.03","115.56","115.81","2023","1996","115.03"
