"","date","Österreich","Belgien","Bulgarien","Zypern","Tschechien","Deutschland","Dänemark","Estland","Spanien","Finnland","Frankreich","Griechenland","Kroatien","Ungarn","Irland","Italien","Lituaen","Luxemburg","Lettland","Malta","Niederlanden","Polen","Portugal","Rumänien","Schweden","Slovenien"
"1",2023-01-23,1.762,1.7334,1.46293,1.57004,1.56045,1.853,1.88996,1.764,1.68831,2.105,1.91618,1.804,1.614,1.74133,1.6923,1.8751,1.66582,1.648,1.72588,1.21,1.784,1.61838,1.634,1.5666,2.206,1.51216
"2",2023-01-16,1.74,1.71531,1.46513,1.57388,1.55532,1.837,1.88999,1.734,1.67908,2.061,1.88456,1.783,1.623,1.72898,1.6847,1.86368,1.65279,1.614,1.69712,1.21,1.768,1.62445,1.611,1.48753,2.1603,1.52548
"3",2023-01-09,1.743,1.72678,1.48706,1.58266,1.56082,1.823,1.82322,1.734,1.68194,2.084,1.89939,1.791,1.627,1.81002,1.6702,1.86813,1.64456,1.573,1.69922,1.21,1.774,1.63504,1.599,1.47399,2.11808,1.50697
"4",2023-01-02,1.685,1.757,1.45889,1.61231,1.56358,1.85,1.83129,1.749,1.66081,2.081,1.76653,1.796,1.61205,1.78201,1.677,1.89084,1.65133,1.626,1.6581,1.21,1.781,1.63985,1.634,1.5251,2.15255,1.5106
"5",2022-12-26,1.654,1.73659,1.5247,1.66366,1.55953,1.818,1.81069,1.712,1.64335,1.985,1.74939,1.791,1.59506,1.77838,1.6932,1.68977,1.65455,1.597,1.64327,1.21,1.754,1.6525,1.607,1.53283,2.11833,1.54502
"6",2022-12-19,1.666,1.72254,1.51836,1.67531,1.56415,1.821,1.79613,1.697,1.66175,1.922,1.74273,1.792,1.67133,1.77011,1.7567,1.71714,1.66443,1.637,1.6551,1.21,1.751,1.63472,1.608,1.56663,2.13868,1.58191
"7",2022-12-12,1.69,1.7431,1.56049,1.70333,1.5772,1.775,1.73033,1.757,1.71097,2.021,1.73205,1.807,1.68268,1.73423,1.8178,1.77008,1.71234,1.549,1.69983,1.21,1.713,1.63414,1.563,1.58398,2.08856,1.61183
"8",2022-12-05,1.735,1.78969,1.60119,1.74658,1.64507,1.854,1.86502,1.856,1.76396,2.077,1.82022,1.89,1.79049,1.45714,1.8876,1.76468,1.74969,1.671,1.75233,1.21,1.784,1.63889,1.643,1.71649,2.23701,1.64585
"9",2022-11-28,1.787,1.81261,1.6313,1.80467,1.70289,1.874,1.85163,1.856,1.82157,2.118,1.86114,1.933,1.7938,1.52209,1.9509,1.74793,1.78315,1.66,1.81383,1.21,1.793,1.64572,1.644,1.76235,2.22707,1.69289
"10",2022-11-21,1.852,1.88029,1.65436,1.83046,1.77714,1.911,1.90516,1.668,1.87678,2.184,1.90588,1.994,1.88691,1.54933,2.0068,1.80992,1.83066,1.737,1.87433,1.21,1.84403,1.65323,1.701,1.79632,2.23676,1.74014
