Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
01.01.2021 00:00:00,01.01.2021 00:15:00,4568,2532,17464,178265.99999999997,0,0,6.912000000000004,21832.000000000004,182669.59999999992,17458.79999999999,0,9600,2112,01.01.2021
02.01.2021 00:00:00,02.01.2021 00:15:00,72952,2428,17460,189216.80000000002,0,0,6.912000000000004,9441.199999999997,174027.19999999992,20790.400000000005,0,9600,2112,02.01.2021
03.01.2021 00:00:00,03.01.2021 00:15:00,92752,1724,17460,173450.40000000002,0,0,6.912000000000004,-23330.000000000004,163959.6,17120,0,9600,2112,03.01.2021
04.01.2021 00:00:00,04.01.2021 00:15:00,4884,1344,17460,175269.19999999995,0,0,6.912000000000004,55375.6,174671.2,46036.79999999999,0,9600,2112,04.01.2021
05.01.2021 00:00:00,05.01.2021 00:15:00,11560,1992,17036,213099.59999999995,0,0,6.912000000000004,97711.20000000003,186073.9999999999,49462.4,0,9600,2112,05.01.2021
06.01.2021 00:00:00,06.01.2021 00:15:00,33784,2080,17592,181883.2000000001,0,0,6.912000000000004,49918.8,186814.80000000013,41053.59999999999,0,9600,2112,06.01.2021
07.01.2021 00:00:00,07.01.2021 00:15:00,42080,3156,17596,185440.80000000002,0,0,6.912000000000004,129162.00000000003,178764.0000000001,76553.59999999996,0,9600,2112,07.01.2021
08.01.2021 00:00:00,08.01.2021 00:15:00,10116,2556,17592,193918.39999999997,0,0,6.912000000000004,120038.4,185315.99999999997,74762,0,9600,2112,08.01.2021
09.01.2021 00:00:00,09.01.2021 00:15:00,18576,3188,17584,184621.20000000007,0,0,6.912000000000004,49029.6,179582.79999999993,44143.2,0,9600,2112,09.01.2021
10.01.2021 00:00:00,10.01.2021 00:15:00,10556,2424,17548,183642.40000000002,0,0,6.912000000000004,11095.999999999998,157320.4,24055.6,0,9600,2112,10.01.2021
11.01.2021 00:00:00,11.01.2021 00:15:00,45948,3668,17612,180620.4,0,0,6.912000000000004,25148.799999999992,155372.39999999997,43331.2,0,9600,2112,11.01.2021
12.01.2021 00:00:00,12.01.2021 00:15:00,46540,2072,17836,231218.80000000002,0,0,6.912000000000004,67785.2,161443.99999999997,32959.599999999984,0,9600,2112,12.01.2021
13.01.2021 00:00:00,13.01.2021 00:15:00,192504,2984,17724,204332.39999999997,0,0,6.912000000000004,2534.7999999999965,162759.59999999995,24925.600000000013,0,9600,2112,13.01.2021
14.01.2021 00:00:00,14.01.2021 00:15:00,179756,2124,17664,186033.99999999997,0,0,6.912000000000004,32269.199999999993,170143.6000000001,50352.399999999994,0,9600,2112,14.01.2021
15.01.2021 00:00:00,15.01.2021 00:15:00,83428,2372,17664,186004.80000000008,0,0,6.912000000000004,123252.80000000003,172429.19999999998,70560.00000000004,0,9600,2112,15.01.2021
16.01.2021 00:00:00,16.01.2021 00:15:00,144996,2528,17808,178437.6,0,0,6.912000000000004,1611.1999999999991,163394.4,26822.8,0,9600,2112,16.01.2021
17.01.2021 00:00:00,17.01.2021 00:15:00,79496,2492,17780,192206.40000000002,0,0,6.912000000000004,2550.400000000007,151716.80000000002,23847.199999999997,0,9600,2112,17.01.2021
18.01.2021 00:00:00,18.01.2021 00:15:00,28948,1760,17644,240955.59999999995,0,0,6.912000000000004,79906.40000000002,159312.0000000001,44624.799999999974,0,9600,2112,18.01.2021
19.01.2021 00:00:00,19.01.2021 00:15:00,99180,3124,17916,206373.60000000012,0,0,6.912000000000004,56944.8,165995.2,40676.80000000001,0,9600,2112,19.01.2021
20.01.2021 00:00:00,20.01.2021 00:15:00,91316,5196,18048,188263.19999999998,0,0,6.912000000000004,-549.1999999999944,170133.59999999998,24676.800000000017,0,9600,2112,20.01.2021
21.01.2021 00:00:00,21.01.2021 00:15:00,75820,4380,17664,178897.20000000004,0,0,6.912000000000004,29638.799999999996,162552.79999999996,25836.8,0,9600,2112,21.01.2021
